,score
0_6_4361,-10.033333333333333
4_2_6567,-12.700000000000001
1_4_350,-12.5
0_6_571,-9.666666666666666
2_2_62,-12.433333333333332
2_2_1967,-12.466666666666667
2_3_274,-12.6
1_3_8003,-11.166666666666666
6_2_2796,-11.133333333333333
5_3_1862,-11.566666666666668
2_2_4647,-11.133333333333333
4_3_8174,-11.266666666666666
3_2_4491,-10.5
4_0_2782,-10.633333333333333
2_4_4375,-9.433333333333334
5_5_4270,-10.799999999999999
5_6_2066,-8.500000000000002
2_0_293,-10.299999999999999
3_2_6741,-11.233333333333334
4_3_6644,-12.1
6_6_8771,-7.633333333333333
6_5_2479,-10.533333333333333
3_3_1892,-10.533333333333333
0_2_2766,-14.066666666666668
1_1_4258,-10.266666666666667
5_1_625,-11.666666666666666
4_2_1997,-11.6
4_5_6376,-9.933333333333334
5_1_7957,-12.133333333333333
3_0_8334,-9.9
2_0_2772,-11.566666666666668
0_1_7820,-11.700000000000001
6_0_1983,-11.733333333333334
0_2_7846,-11.066666666666668
4_2_8257,-12.233333333333334
2_3_2714,-11.799999999999999
1_0_6755,-11.366666666666667
4_0_3902,-10.566666666666666
2_5_4056,-8.833333333333334
1_3_6733,-12.433333333333332
0_1_4073,-13.533333333333333
6_3_4638,-11.366666666666667
1_5_3822,-10.633333333333333
1_2_8623,-11.333333333333334
0_2_4015,-13.0
4_3_507,-11.433333333333332
4_3_6347,-13.666666666666666
6_6_202,-8.833333333333334
0_4_4527,-12.766666666666666
6_2_6335,-13.733333333333334
4_4_8798,-11.833333333333334
5_2_8582,-11.6
2_3_4067,-9.6
5_1_2374,-12.866666666666667
2_3_8179,-11.033333333333331
6_5_5874,-11.0
1_1_187,-11.533333333333333
1_3_2390,-10.633333333333333
1_0_8098,-11.866666666666667
2_3_289,-10.533333333333333
0_3_258,-12.866666666666665
4_2_6064,-10.233333333333334
3_1_156,-8.833333333333334
0_6_2412,-6.3999999999999995
4_2_53,-10.200000000000001
2_4_8768,-11.633333333333333
1_1_6175,-13.1
5_5_2503,-8.533333333333333
2_4_4676,-8.966666666666667
6_6_6542,-7.599999999999999
5_0_8339,-12.566666666666668
5_3_2031,-10.6
5_3_4241,-12.333333333333334
2_2_4344,-12.166666666666666
5_0_267,-11.666666666666666
2_3_2811,-10.066666666666666
6_2_169,-9.700000000000001
4_3_3661,-14.033333333333333
2_2_9322,-10.933333333333332
5_3_280,-11.200000000000001
6_2_5463,-11.933333333333332
6_1_5405,-12.200000000000001
4_4_375,-7.966666666666666
4_2_1692,-8.633333333333335
5_2_7634,-10.633333333333333
5_6_554,-10.0
5_2_1444,-13.666666666666666
5_1_1422,-12.066666666666668
4_1_7484,-11.766666666666666
0_3_1610,-12.1
0_0_7406,-11.833333333333334
0_0_1676,-10.2
5_2_3794,-11.233333333333334
2_0_868,-11.466666666666667
4_2_3542,-11.533333333333333
2_0_5487,-11.366666666666667
0_2_319,-10.866666666666667
1_1_5623,-14.166666666666666
5_5_1255,-8.933333333333334
4_5_1083,-9.7
0_2_9073,-10.166666666666666
