lr,exp_idx,best_obj
0.0001,15,-11.446456750267439
0.0001,11,-11.871909197429193
0.0001,12,-11.304503956343408
0.0001,14,-12.361596987778954
0.0001,13,-11.817213636673156
0.0001,16,-11.20607632212877
0.0001,13,-12.615005261257435
0.0001,14,-11.109671291097005
0.0001,16,-12.613674377241749
0.0001,14,-11.429115887842704
0.0001,20,-11.74645466993631
0.0001,17,-11.801763112925405
0.0001,15,-11.870889671630856
0.0001,12,-12.121673050640116
0.0001,15,-11.324673612860925
0.0001,15,-11.91444110627975
0.0001,19,-11.641051689417578
0.0001,15,-11.583304812573193
0.0001,15,-11.918000689290805
0.0001,13,-11.989836473776034
0.0001,17,-11.400732796825462
0.0001,12,-11.742364690339326
0.0001,19,-12.162406990413752
0.0001,14,-11.72770827672413
0.0001,19,-12.454282062867499
0.001,40,-12.645767218827341
0.001,32,-13.089809161759455
0.001,33,-12.347030780000845
0.001,29,-12.932378371916506
0.001,31,-12.925878382323065
0.001,33,-12.380068330318412
0.001,21,-13.172577185158795
0.001,44,-12.649740696244443
0.001,34,-13.007037187766475
0.001,43,-12.587313641724501
0.001,36,-12.542133981337843
0.001,31,-12.614217988328146
0.001,49,-13.31142552507911
0.001,22,-12.680443444729375
0.001,41,-12.44086126393942
0.001,38,-13.040164102030824
0.001,33,-13.004346924028663
0.001,41,-12.669438393562286
0.001,34,-12.858195646754623
0.001,25,-12.466614350116574
0.001,38,-12.492596907798454
0.001,40,-12.604283655334472
0.001,35,-13.54945877988678
0.001,28,-12.072052960094661
0.001,40,-13.623477530660946
0.01,53,-13.032932323649163
0.01,44,-13.298804905408748
0.01,68,-14.461611158007853
0.01,42,-16.129820522847822
0.01,41,-13.331983418879336
0.01,43,-12.865864618603439
0.01,24,-14.297182941072808
0.01,66,-13.598707854525987
0.01,50,-14.695206005949832
0.01,52,-13.462899045210747
0.01,55,-14.29779025642889
0.01,53,-13.830643192209319
0.01,67,-14.929675365795722
0.01,38,-14.29755304704295
0.01,69,-13.532514601795837
0.01,69,-14.797722218429644
0.01,48,-14.330685609840645
0.01,56,-13.066092816523978
0.01,80,-13.564729998811629
0.01,49,-13.830966667079483
0.01,70,-13.730242577554584
0.01,94,-15.096146589128582
0.01,45,-14.231317607126652
0.01,91,-14.92916930634316
0.01,55,-14.929739345581488
0.1,71,-14.7808952389088
0.1,47,-13.290678430874488
0.1,73,-13.783577261517838
0.1,52,-16.094931422193373
0.1,54,-14.648353101725382
0.1,66,-14.783267242840857
0.1,26,-14.273476161121412
0.1,82,-14.62707909395868
0.1,52,-14.655339160264827
0.1,56,-13.743050385684981
0.1,53,-14.27587609086733
0.1,48,-13.80670979182027
0.1,57,-14.889858792928841
0.1,39,-14.27269215593137
0.1,56,-13.522436331538442
0.1,62,-14.782501275655518
0.1,51,-14.784872074365477
0.1,92,-13.34518305056471
0.1,64,-14.786593565549705
0.1,41,-13.805107623062264
0.1,65,-13.70013654959898
0.1,82,-14.454889083251794
0.1,47,-14.213983799616981
0.1,55,-13.523909147511999
0.1,53,-14.888360996224236
1.0,80,-14.556219117366823
1.0,62,-13.939392076832378
1.0,84,-14.164572296116463
1.0,82,-15.38216446712082
1.0,64,-14.44809793860334
1.0,62,-14.570054881693425
1.0,40,-13.994438063102622
1.0,132,-14.690995276733117
1.0,76,-13.599592176443215
1.0,85,-14.879784699942123
1.0,69,-14.307047642812671
1.0,73,-14.110227479056425
1.0,66,-14.102379118895085
1.0,71,-15.619425015559957
1.0,97,-14.328686466179501
1.0,77,-14.581234775856126
1.0,59,-15.74156462277018
1.0,88,-13.36115359019982
1.0,63,-14.282104653868428
1.0,99,-14.772144655832246
1.0,72,-13.759087959242047
1.0,64,-14.616617369140247
1.0,73,-14.063684642739155
1.0,66,-13.955185525829537
1.0,62,-14.085014927465652
10.0,200,-14.928351749077354
10.0,230,-14.418832677623936
10.0,283,-14.536861222831362
10.0,335,-14.773220096262172
10.0,315,-15.053640581708155
10.0,178,-14.71834576568117
10.0,244,-14.79343805363204
10.0,288,-14.732426677759618
10.0,220,-14.99734409138988
10.0,348,-15.024670268342737
10.0,429,-14.82056167196757
10.0,290,-14.766823082592387
10.0,450,-15.017118695578084
10.0,310,-14.928063267898152
10.0,320,-14.870076411192175
10.0,373,-14.748163117646342
10.0,245,-14.779728502352146
10.0,536,-14.987978371702889
10.0,362,-14.811479142245748
10.0,285,-14.78066694343497
10.0,242,-14.613274889636987
10.0,396,-14.836734833579346
10.0,289,-14.853277257788651
10.0,210,-14.473391519317918
10.0,399,-14.836817280974348
100.0,108,-14.926774057651414
100.0,166,-14.723654694876187
100.0,88,-14.406678047293425
100.0,74,-14.773344412103055
100.0,129,-15.063443883580712
100.0,59,-14.81003709644738
100.0,72,-13.69673206278891
100.0,34,-13.363368614029728
100.0,56,-14.440012500301052
100.0,39,-12.960033422608845
100.0,156,-14.616773986652312
100.0,68,-14.380049484420846
100.0,85,-14.673412903067648
100.0,87,-14.79337204645936
100.0,83,-14.26338314940938
100.0,50,-14.180021416982857
100.0,199,-14.960301412128018
100.0,80,-14.523410449264432
100.0,50,-13.996748636753138
100.0,136,-14.840034672556445
100.0,100,-14.166764193294664
100.0,130,-14.433571879596682
100.0,63,-13.436775246095177
100.0,62,-14.186747499535066
100.0,63,-14.076663188536049
