,Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,Smiles,Standard Value,Standard Units,pChEMBL Value
0,CHEMBL513405,,332.69,None,Cc1ccc(-c2cn[se]c2-c2ccc(Cl)cc2)cc1,0.0,nM,
1,CHEMBL134342,THIOCTIC ACID,206.33,0,O=C(O)CCCC[C@@H]1CCSS1,0.0,nM,
2,CHEMBL51085,EBSELEN,274.18,None,O=c1c2ccccc2[se]n1-c1ccccc1,0.0,nM,
3,CHEMBL452730,,328.27,None,COc1ccc(-c2[se]ncc2-c2ccc(C)cc2)cc1,0.0,nM,
4,CHEMBL501676,,353.11,None,Clc1ccc(-c2cn[se]c2-c2ccc(Cl)cc2)cc1,0.0,nM,
5,CHEMBL471171,,332.69,None,Cc1ccc(-c2[se]ncc2-c2ccc(Cl)cc2)cc1,0.0,nM,
6,CHEMBL2158361,,287.32,0,CC(Oc1cc(=O)oc2ccccc12)C(=O)N1CCCC1,0.0,nM,
7,CHEMBL499068,,378.45,0,COc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)[nH]c3ccccc23)cc1,0.005998,nM,
8,CHEMBL499069,,377.47,0,COc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)[nH]c3ccccc23)cc1,0.02,nM,10.7
9,CHEMBL501208,,365.43,1,CS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccc(F)cc2)cc1,0.02,nM,10.7
10,CHEMBL525247,,362.45,0,Cc1ccc2[nH]c(-c3ccc(S(N)(=O)=O)cc3)c(-c3ccccc3)c2c1,0.02,nM,10.7
11,CHEMBL502555,,362.45,0,Cc1ccc(-c2c(-c3ccc(S(N)(=O)=O)cc3)[nH]c3ccccc23)cc1,0.06998,nM,10.16
12,CHEMBL143776,,321.37,1,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3C2)cc1,0.08,nM,10.1
13,CHEMBL524543,,361.47,1,Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)[nH]c3ccccc23)cc1,0.08995,nM,10.05
14,CHEMBL500936,,348.43,0,NS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccccc2)cc1,0.08995,nM,10.05
15,CHEMBL140167,,335.40,1,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1,0.12,nM,9.92
16,CHEMBL499349,,382.87,0,NS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2ccccc2)cc1,0.14,nM,9.85
17,CHEMBL525021,,375.49,1,Cc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)[nH]c3ccccc23)cc1C,0.1698,nM,9.77
18,CHEMBL500943,,390.46,0,CC(=O)NS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccccc2)cc1,0.1799,nM,9.74
19,CHEMBL1958349,,326.44,0,CC(C)Cc1ccc(C(C)C(=O)Oc2ccc(CCO)cc2)cc1,0.2,nM,9.7
20,CHEMBL551829,,407.42,0,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(NCc3ccccc3)n2)cc1,0.25,nM,9.6
21,CHEMBL525250,,361.47,1,Cc1ccc2[nH]c(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccccc3)c2c1,0.2799,nM,9.55
22,CHEMBL551148,,425.41,0,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(NCc3ccc(F)cc3)n2)cc1,0.28,nM,9.55
23,CHEMBL423296,,551.89,2,COc1ccc2c(c1)c(Cc1nc(-c3ccc(Br)cc3)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,0.3,nM,9.52
24,CHEMBL271173,,389.50,0,CCOc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,0.3,nM,9.52
25,CHEMBL502285,,381.88,1,CS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2ccccc2)cc1,0.3597,nM,9.44
26,CHEMBL502554,,426.34,1,CS(=O)(=O)c1ccc(-c2[nH]c3ccccc3c2-c2ccc(Br)cc2)cc1,0.3698,nM,9.43
27,CHEMBL270293,,375.48,0,COc1cc(NCc2cccs2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,0.4,nM,9.4
28,CHEMBL186632,,394.46,0,CCOc1ccc(-c2nn3ncccc3c2-c2ccc(S(N)(=O)=O)cc2)cc1,0.44,nM,9.36
29,CHEMBL282093,,401.80,0,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1,0.45,nM,9.35
30,CHEMBL108201,,328.43,0,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1,0.5,nM,9.3
31,CHEMBL561891,,399.44,0,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(NC3CCCCC3)n2)cc1,0.5,nM,9.3
32,CHEMBL118,CELECOXIB,381.38,0,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,0.52,nM,9.28
33,CHEMBL500674,,417.32,1,NS(=O)(=O)c1ccc(-c2[nH]c3ccc(Cl)cc3c2-c2ccc(Cl)cc2)cc1,0.5395,nM,9.27
