Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,Standard Units
CHEMBL2115305,COc1ccc2c(c1)c(CC(=O)NN1CCC[C@@H]1CO)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,1700,nM
CHEMBL274841,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)c[n+]1[O-],IC50,18000,nM
CHEMBL15791,CONC1=NC(=O)/C(=C/c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)S1,IC50,1700,nM
CHEMBL72294,Cc1ccc(-n2c(-c3ccc(S(N)(=O)=O)cc3)c(C)oc2=O)cc1,IC50,1700,nM
CHEMBL304054,Cc1cccc(-n2c(-c3ccc(S(N)(=O)=O)cc3)coc2=O)c1,IC50,510,nM
CHEMBL314225,NS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CC3(CC3)C2)cc1,IC50,3,nM
CHEMBL296318,C[S+]([O-])c1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,100000,nM
CHEMBL419268,Cc1oc(=O)n(-c2ccc(Cl)c(Cl)c2)c1-c1ccc(S(N)(=O)=O)cc1,IC50,230,nM
CHEMBL24837,COc1ccc2c(c1)c(CC(=O)NCCCCO)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,280,nM
CHEMBL29847,Cc1ccc(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)o1,IC50,3290,nM
CHEMBL29500,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(c2)CCC3)cc1,IC50,31,nM
CHEMBL29941,CCCc1c(C(F)(F)F)nn(-c2ccc(S(N)(=O)=O)cc2)c1-c1ccc(F)cc1,IC50,100000,nM
CHEMBL23245,CS(=O)(=O)c1ccc(C2=C(c3cccc(F)c3)C(=O)CC2)cc1,IC50,340,nM
CHEMBL290608,CCN(CC)OC(=O)c1ccc(-n2c(C)ccc2-c2ccc(F)cc2)cc1,IC50,,nM
CHEMBL286277,NS(=O)(=O)c1ccc(-n2ncc(F)c2-c2ccccc2)cc1,IC50,4660,nM
CHEMBL321216,Cc1ccnc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,IC50,524.81,nM
CHEMBL321643,COc1c(Cl)cc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1Cl,IC50,8.913,nM
CHEMBL110401,CC1(C)OC(=O)C(Oc2ccc(F)c(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,IC50,10,nM
CHEMBL280496,CS(=O)(=O)c1ccc(-c2nc(-c3ccccc3)sc2-c2ccc(F)cc2)cc1,IC50,540,nM
CHEMBL324670,CC1(C)OC(=O)C(Sc2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,IC50,1500,nM
CHEMBL111045,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC(C(F)(F)F)(C(F)(F)F)C2)cc1,IC50,67.61,nM
CHEMBL324312,CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,27,nM
CHEMBL25030,COc1ccc2c(c1)c(CC(=O)N[C@H](CO)C(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,370,nM
CHEMBL18264,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)C(=O)OC2)cc1,IC50,230,nM
CHEMBL55348,COc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,IC50,12.88,nM
CHEMBL423576,CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)c(F)c3)nc3sccn23)cc1,IC50,12,nM
CHEMBL423576,CS(=O)(=O)c1ccc(-c2c(-c3ccc(F)c(F)c3)nc3sccn23)cc1,IC50,2200,nM
CHEMBL44290,CC(=O)c1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C,IC50,1621.81,nM
CHEMBL358783,CCCCCCCS(=O)(=O)c1ccccc1OC(C)=O,IC50,40000,nM
CHEMBL297008,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,IC50,60.26,nM
CHEMBL44977,CN(C)c1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1F,IC50,331.13,nM
CHEMBL327078,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)nc1,IC50,724.44,nM
CHEMBL345018,CCCCC#CCSc1ccccc1OC(C)=O,IC50,800,nM
CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,5.9,nM
CHEMBL145283,CCCCC#CCSc1ccccc1OC(=O)CC,IC50,40000,nM
CHEMBL319099,CS(=O)(=O)c1ccc(-c2cscc2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,300000,nM
CHEMBL42801,Cc1c(CN(C)C)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,100000,nM
CHEMBL361563,CS(=O)(=O)Nc1cc2c(cc1Sc1cccc(F)c1F)C(=O)CC2,IC50,50,nM
CHEMBL19286,C[C@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1,IC50,100000,nM
CHEMBL282093,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2)cc1,IC50,10,nM
CHEMBL283178,CSc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,9,nM
CHEMBL56367,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,IC50,9400,nM
CHEMBL497859,CC(C(=O)OCC(CO[N+](=O)[O-])O[N+](=O)[O-])c1cccc(C(=O)c2ccccc2)c1,IC50,740,nM
CHEMBL52820,NS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc(F)c(Cl)c2)cc1,IC50,1.995,nM
CHEMBL143962,CCCCCCCCCSc1ccccc1OC(C)=O,IC50,40000,nM
CHEMBL444539,O=C(NNc1ccccc1)c1ccccc1,IC50,10000,nM
CHEMBL42175,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(Cl)c2)cc1,IC50,60.26,nM
CHEMBL333084,CC(C)Oc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,10000,nM
CHEMBL110382,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cc(Br)cs2)cc1,IC50,25.7,nM
