ps,link,lig,gen
6,6,28,0
0,0,184,0
6,1,376,0
6,5,157,0
2,4,108,0
4,0,297,0
5,1,220,0
5,3,411,0
5,6,260,0
2,4,227,0
4,2,18,0
6,0,186,0
3,2,194,0
3,4,84,0
4,1,120,0
1,0,90,0
2,1,69,0
4,4,184,0
4,5,286,0
1,3,407,0
3,5,268,0
6,2,404,0
4,2,185,0
6,3,82,0
6,3,366,0
5,3,335,0
4,1,250,0
2,3,256,0
4,6,407,0
2,5,232,0
3,2,290,0
5,4,370,0
3,3,337,0
1,2,358,0
6,1,315,0
2,6,245,0
2,2,409,0
5,6,258,0
4,4,259,0
5,4,301,0
3,2,374,0
1,3,262,0
2,5,319,0
0,6,174,0
5,0,97,0
5,0,30,0
4,5,25,0
2,4,116,0
5,0,386,0
4,1,136,0
1,6,107,0
0,3,367,0
6,0,29,0
2,2,88,0
1,5,12,0
0,0,34,0
0,0,373,0
0,2,130,0
1,6,80,0
5,1,267,0
5,0,197,0
4,0,406,0
1,1,18,0
0,2,315,0
5,5,382,0
0,2,172,0
3,0,157,0
3,4,392,0
4,5,23,0
2,6,205,0
6,4,361,0
1,3,115,0
0,5,351,0
2,6,52,0
0,3,403,0
6,1,265,0
4,6,201,0
3,4,167,0
1,6,174,0
2,2,310,0
3,5,9,0
5,4,71,0
5,0,129,0
0,1,82,0
1,0,232,0
5,1,260,0
5,0,126,0
1,5,227,0
0,2,41,0
4,1,319,0
6,6,319,0
5,2,131,0
5,3,142,0
4,6,2,0
1,0,196,0
3,1,56,0
4,5,44,0
1,0,51,0
0,1,384,0
1,0,111,0
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
0,3,108,49
6,3,108,49
6,3,108,49
6,3,108,49
6,3,108,49
0,2,108,49
1,3,108,49
1,3,108,49
1,3,108,49
1,3,108,49
2,3,108,49
2,3,108,49
4,3,108,49
4,3,108,49
0,4,108,49
0,4,108,49
6,1,108,49
0,1,108,49
0,1,108,49
5,1,108,49
0,3,254,49
0,3,87,49
0,0,198,49
0,3,87,49
1,4,108,49
0,3,198,49
0,3,198,49
0,3,285,49
0,0,108,49
0,0,108,49
0,0,108,49
0,3,17,49
0,3,369,49
3,2,108,49
0,5,108,49
0,5,108,49
0,3,30,49
0,3,19,49
4,4,108,49
0,4,221,49
0,1,4,49
1,0,108,49
