ps,link,lig,gen
5,0,12,0
5,2,125,0
1,1,377,0
0,5,379,0
4,0,302,0
3,0,15,0
0,1,119,0
4,4,13,0
4,1,366,0
5,5,279,0
3,1,229,0
4,2,414,0
6,0,388,0
6,1,357,0
3,2,142,0
1,1,390,0
2,0,47,0
3,0,183,0
6,2,309,0
2,6,22,0
5,3,274,0
0,3,40,0
4,2,321,0
4,6,185,0
4,1,360,0
0,0,338,0
1,6,148,0
0,6,119,0
6,0,194,0
2,3,325,0
6,2,83,0
2,2,107,0
5,2,359,0
5,5,36,0
4,5,87,0
4,5,125,0
1,3,194,0
2,5,352,0
4,1,350,0
2,6,393,0
6,0,117,0
6,0,412,0
2,3,137,0
0,1,290,0
5,2,108,0
5,3,202,0
5,3,73,0
2,1,126,0
5,4,275,0
2,5,299,0
0,3,40,49
0,2,9,49
0,3,213,49
0,3,119,49
6,3,40,49
0,3,106,49
5,3,40,49
0,2,40,49
0,2,270,49
1,3,270,49
5,3,119,49
1,3,213,49
3,3,40,49
0,2,268,49
1,2,270,49
0,0,40,49
3,3,270,49
5,1,323,49
1,1,270,49
6,1,137,49
5,3,110,49
0,0,101,49
6,2,109,49
0,3,133,49
4,2,339,49
0,3,145,49
6,1,342,49
5,3,145,49
5,0,145,49
4,0,8,49
6,4,40,49
5,3,396,49
3,2,119,49
0,3,237,49
5,2,284,49
0,0,184,49
0,3,341,49
4,2,8,49
6,1,358,49
6,3,178,49
4,3,8,49
6,5,40,49
4,4,8,49
2,3,342,49
5,3,345,49
3,4,298,49
5,3,157,49
5,6,162,49
6,2,284,49
3,2,284,49
