,ps,link,lig,gen
0,0,2,44,0
1,6,3,136,0
2,0,6,19,0
3,3,4,287,0
4,2,2,26,0
5,1,1,172,0
6,4,2,359,0
7,1,1,0,0
8,3,6,44,0
9,4,3,35,0
10,0,2,374,0
11,3,0,22,0
12,0,5,72,0
13,1,6,10,0
14,2,3,293,0
15,3,2,240,0
16,6,0,393,0
17,2,2,267,0
18,6,3,105,0
19,6,4,327,0
20,4,4,414,0
21,2,0,203,0
22,6,5,262,0
23,3,5,275,0
24,5,6,341,0
25,4,6,248,0
26,4,5,214,0
27,2,4,16,0
28,6,6,330,0
29,1,5,42,0
30,3,5,134,0
31,1,2,172,0
32,4,3,37,0
33,5,3,198,0
34,4,6,172,0
35,0,1,300,0
36,0,6,321,0
37,2,0,180,0
38,1,3,272,0
39,4,5,30,0
40,5,2,253,0
41,6,5,368,0
42,1,4,247,0
43,1,1,274,0
44,3,3,384,0
45,3,0,5,0
46,1,3,98,0
47,0,2,409,0
48,2,5,139,0
49,3,5,215,0
0,0,3,40,99
1,0,3,40,99
2,0,3,40,99
3,0,3,40,99
4,0,3,40,99
5,0,3,40,99
6,0,3,40,99
7,0,3,40,99
8,0,3,40,99
9,0,3,40,99
10,0,3,40,99
11,0,3,40,99
12,0,3,40,99
13,0,3,40,99
14,0,3,40,99
15,0,3,40,99
16,0,3,40,99
17,0,3,40,99
18,0,3,40,99
19,0,3,40,99
20,0,3,40,99
21,0,3,40,99
22,0,3,40,99
23,0,3,40,99
24,0,3,40,99
25,0,3,40,99
26,0,3,40,99
27,0,3,40,99
28,0,3,40,99
29,0,3,40,99
30,6,3,40,99
31,1,3,40,99
32,0,1,40,99
33,2,3,40,99
34,2,3,40,99
35,2,3,40,99
36,3,3,40,99
37,0,3,220,99
38,0,5,161,99
39,0,4,40,99
40,0,5,40,99
41,0,0,40,99
42,0,0,40,99
43,0,0,40,99
44,0,3,179,99
45,0,3,382,99
46,0,3,125,99
47,0,3,125,99
48,0,3,27,99
49,0,3,142,99
