gen,mean_score,best_5_score,best_10_score,best_20_score
0,-9.976,-13.993333333333334,-13.313333333333333,-12.785
1,-11.498809523809525,-14.553333333333336,-14.023333333333335,-13.399999999999997
2,-12.036158192090397,-14.693333333333333,-14.24,-13.808333333333334
3,-11.377222222222223,-14.793333333333333,-14.38,-13.953333333333333
4,-12.301754385964912,-14.84,-14.426666666666668,-13.996666666666666
5,-12.178531073446328,-14.98,-14.62,-14.101666666666668
6,-12.385964912280702,-14.993333333333334,-14.723333333333334,-14.191666666666668
7,-12.500000000000002,-15.293333333333333,-14.953333333333333,-14.433333333333334
8,-12.238596491228071,-15.293333333333333,-14.953333333333333,-14.15333333333333
9,-12.39298245614035,-15.293333333333333,-14.989999999999998,-14.225
10,-12.634545454545455,-15.293333333333333,-14.989999999999998,-14.396666666666667
11,-12.111949685534592,-15.293333333333333,-14.99333333333333,-14.396666666666667
12,-12.051282051282051,-15.293333333333333,-14.99333333333333,-14.425
13,-11.73095238095238,-15.319999999999999,-15.039999999999997,-14.411666666666667
14,-12.161818181818184,-15.319999999999999,-15.039999999999997,-14.089999999999998
15,-12.238787878787878,-15.319999999999999,-15.039999999999997,-14.378333333333334
16,-12.13703703703704,-15.319999999999999,-15.039999999999997,-14.375000000000004
17,-12.408928571428572,-15.419999999999998,-15.123333333333331,-14.454999999999998
18,-12.120238095238095,-15.419999999999998,-15.123333333333331,-14.411666666666667
19,-12.617816091954024,-15.419999999999998,-15.123333333333331,-14.501666666666665
20,-12.247368421052633,-15.419999999999998,-15.123333333333331,-14.495
21,-12.41186440677966,-15.419999999999998,-15.123333333333331,-14.416666666666666
22,-12.659322033898302,-15.419999999999998,-15.123333333333331,-14.65666666666667
23,-11.963636363636368,-15.419999999999998,-15.129999999999999,-14.504999999999999
24,-12.139444444444447,-15.419999999999998,-15.133333333333331,-14.496666666666666
25,-12.557738095238095,-15.52,-15.213333333333333,-14.606666666666664
26,-12.616071428571429,-15.566666666666666,-15.270000000000001,-14.663333333333332
27,-12.261494252873565,-15.566666666666666,-15.270000000000001,-14.526666666666666
28,-12.509941520467837,-15.566666666666666,-15.270000000000001,-14.598333333333334
29,-12.466666666666665,-15.566666666666666,-15.270000000000001,-14.723333333333333
30,-11.731578947368423,-15.566666666666666,-15.270000000000001,-14.383333333333331
31,-12.187570621468925,-15.566666666666666,-15.270000000000001,-14.541666666666666
32,-12.441666666666666,-15.566666666666666,-15.270000000000001,-14.386666666666667
33,-12.666666666666666,-15.566666666666666,-15.270000000000001,-14.623333333333335
34,-12.692592592592591,-15.566666666666666,-15.270000000000001,-14.633333333333335
35,-12.122988505747127,-15.566666666666666,-15.270000000000001,-14.616666666666665
36,-12.557738095238095,-15.566666666666666,-15.270000000000001,-14.62
37,-12.174853801169592,-15.566666666666666,-15.270000000000001,-14.465
38,-12.589285714285714,-15.566666666666666,-15.270000000000001,-14.64166666666667
39,-11.708928571428572,-15.566666666666666,-15.270000000000001,-14.218333333333334
40,-11.928735632183907,-15.566666666666666,-15.276666666666667,-14.546666666666667
41,-12.448809523809524,-15.566666666666666,-15.276666666666667,-14.441666666666668
42,-12.645029239766084,-15.566666666666666,-15.276666666666667,-14.664999999999997
43,-12.646666666666663,-15.566666666666666,-15.276666666666667,-14.481666666666664
44,-12.473099415204679,-15.566666666666666,-15.276666666666667,-14.418333333333333
45,-12.297126436781609,-15.566666666666666,-15.276666666666667,-14.523333333333335
