gen,mean_score,compound,best_5_score,best_10_score,best_20_score
0,-10.018666666666666,5_0_12 5_2_125 1_1_377 0_5_379 4_0_302 3_0_15 0_1_119 4_4_13 5_5_279 3_1_229 6_0_388 6_1_357 3_2_142 1_1_390 2_0_47 3_0_183 6_2_309 2_6_22 5_3_274 0_3_40 4_2_321 4_6_185 4_1_360 1_6_148 0_6_119 6_0_194 2_3_325 6_2_83 2_2_107 5_2_359 5_5_36 4_5_87 4_5_125 1_3_194 2_5_352 4_1_350 2_6_393 6_0_117 2_3_137 0_1_290 5_2_108 5_3_202 5_3_73 2_1_126 5_4_275 2_5_299 4_1_366 4_2_414 0_0_338 6_0_412,-13.593333333333334,-12.940000000000001,-12.226666666666667
1,-11.020238095238097,5_6_214 5_1_187 3_4_135 1_4_40 6_4_119 5_0_302 6_2_125 5_4_87 1_5_119 2_6_393 5_3_40 4_0_224 1_2_112 4_5_202 6_1_290 5_2_73 2_1_119 6_4_357 5_6_309 3_0_302 5_2_207 2_3_339 2_2_193 0_2_359 2_2_374 5_1_276 4_0_13 1_1_377 0_0_115 4_0_222 6_1_117 5_5_169 2_2_393 5_5_40 5_3_52 1_5_194 5_0_274 6_0_117 0_0_117 5_3_246 0_1_119 6_1_340 6_3_274 4_0_302 5_0_12 4_3_274 2_6_252 0_3_40 5_2_125 5_2_108 0_1_290 5_3_202 6_2_83 6_2_309 ERROR_6_0_402 ERROR_1_3_320,-14.326666666666668,-13.666666666666668,-13.133333333333335
2,-11.692528735632184,0_6_167 1_2_364 5_5_40 5_3_119 5_6_214 1_0_219 0_1_119 4_1_64 6_2_83 6_3_202 4_2_117 0_0_302 4_3_222 6_5_202 1_1_108 6_0_290 5_2_202 1_1_290 5_2_112 5_3_126 5_1_226 5_1_85 4_5_108 5_3_41 2_2_119 1_2_112 6_1_117 0_3_119 1_3_172 0_0_274 6_2_117 1_6_377 0_2_117 1_3_136 4_5_290 6_0_117 5_1_119 6_1_290 0_6_112 0_3_40 5_3_40 6_3_274 1_4_40 5_3_52 6_2_125 0_0_117 5_0_274 0_5_274 6_2_73 5_6_386 1_2_407 2_1_112 2_1_287 6_1_359 3_4_117 6_1_47 1_0_311 5_0_266,-14.913333333333336,-14.076666666666664,-13.439999999999998
3,-12.08867924528302,3_0_311 0_1_117 0_1_155 6_1_62 6_2_41 6_1_119 5_5_119 5_3_365 5_2_119 5_5_164 6_3_41 1_3_403 1_4_112 6_2_47 0_1_8 0_3_40 5_3_119 5_3_308 4_3_119 6_5_219 0_2_290 1_4_40 2_1_226 2_1_119 6_6_364 1_2_364 6_6_47 6_3_290 1_3_112 1_0_119 5_3_317 6_1_358 1_1_172 1_3_40 2_1_318 3_1_112 2_0_240 6_2_240 2_3_268 5_3_202 6_3_39 1_1_119 0_3_119 5_3_40 0_1_119 6_3_274 5_3_52 1_4_364 2_5_112 6_0_322 2_0_274 6_1_202 5_4_41,-15.040000000000003,-14.343333333333334,-13.614999999999998
4,-11.803267973856208,1_1_47 2_4_28 6_2_235 0_2_386 0_1_279 6_3_39 5_0_119 2_1_226 5_3_337 5_2_119 1_0_364 5_2_1 5_6_290 2_0_316 5_3_274 5_0_240 5_3_40 0_2_3 2_3_119 6_2_47 5_3_119 5_1_164 6_3_274 0_1_41 0_3_40 3_1_119 2_1_174 6_3_107 1_1_0 0_1_275 1_6_119 0_2_357 1_3_144 0_0_286 6_1_119 5_4_41 5_3_396 5_0_64 1_4_290 2_1_274 0_2_40 2_6_119 0_3_119 1_3_40 0_1_119 5_5_358 6_6_358 2_0_317 0_4_177 5_4_391 2_5_358,-15.1,-14.486666666666668,-13.703333333333337
5,-12.082978723404254,0_3_40 5_5_358 0_1_119 0_2_40 4_3_119 0_1_40 0_3_353 6_2_47 5_1_160 5_2_1 0_0_119 1_6_290 5_0_274 0_1_164 5_4_24 2_3_396 5_3_252 5_3_47 2_3_40 3_5_358 6_5_119 4_2_40 5_4_119 0_2_119 5_1_40 3_0_119 1_3_47 4_0_47 0_1_41 5_3_40 1_2_3 2_0_274 5_3_119 2_1_396 5_2_18 5_1_47 2_2_361 0_3_119 1_3_40 5_2_41 2_5_359 5_6_100 2_3_19 5_4_100 4_1_226 6_1_235 0_1_118,-15.1,-14.713333333333333,-14.028333333333332
6,-12.375,4_2_182 0_1_41 1_2_40 0_3_244 5_3_119 0_3_83 0_3_119 0_4_119 5_0_142 5_3_81 1_4_40 0_0_274 0_3_41 0_0_119 4_2_119 2_2_119 0_3_40 0_0_283 3_2_119 6_3_267 5_1_40 0_6_40 5_2_40 0_3_24 0_3_264 2_2_212 5_3_189 1_1_175 0_0_271 1_2_119 5_3_252 0_2_40 5_0_274 0_1_205 6_1_316 2_3_361 2_2_1 6_1_157 0_3_356 3_2_40 5_2_1 3_2_341 5_3_40 4_4_258 2_0_43 5_2_46 1_4_3 2_0_361,-15.086666666666668,-14.310000000000002,-13.628333333333334
7,-11.79927536231884,5_5_214 0_3_40 0_4_257 1_2_119 5_3_40 3_3_40 6_5_119 2_2_1 0_3_119 0_3_182 5_3_44 0_4_119 5_4_125 5_2_252 0_4_340 5_1_279 4_0_103 3_4_119 0_3_139 6_0_40 3_3_271 5_0_119 0_3_175 0_3_221 3_6_291 4_0_40 5_2_1 6_3_119 4_2_119 2_3_40 0_5_24 1_1_119 5_2_40 5_1_119 3_0_40 0_3_200 0_3_24 5_5_349 5_6_74 1_0_142 4_3_83 2_4_238 5_2_297 5_2_379 6_3_204 5_6_316,-14.786666666666667,-14.046666666666667,-13.328333333333337
8,-11.721985815602839,4_6_119 2_3_119 0_3_58 5_4_40 5_3_330 3_3_40 3_2_40 0_3_173 4_4_119 6_5_40 0_1_155 0_3_40 0_2_252 5_3_298 6_3_73 4_3_40 0_3_119 4_2_40 2_0_192 0_2_40 0_3_153 6_2_391 0_3_270 6_4_175 6_3_40 5_2_252 5_2_40 2_3_378 5_3_119 0_0_138 1_2_40 0_6_103 5_0_270 0_3_77 5_0_40 0_3_182 4_6_40 3_3_119 0_3_221 0_3_214 0_1_40 ERROR_5_3_320 2_2_297 ERROR_0_3_113 4_0_312 2_5_252 3_4_271,-15.1,-14.576666666666664,-13.830000000000002
9,-12.078632478632477,3_0_40 0_3_40 0_2_40 1_1_36 1_3_40 2_3_119 6_3_40 3_3_40 0_5_40 6_3_119 0_3_75 4_6_40 4_3_40 0_3_73 0_0_40 5_0_119 6_1_40 0_0_16 2_3_175 5_2_117 4_0_138 2_3_81 0_4_40 1_0_40 3_5_40 0_3_39 2_5_119 3_4_119 6_4_58 2_3_40 2_4_290 0_5_243 4_2_175 2_0_298 4_2_173 1_2_340 3_4_252 5_0_177 3_0_290,-14.926666666666668,-14.226666666666668,-13.459999999999999
