,ps,link,lig,gen
0,5,0,12,0
1,5,2,125,0
2,1,1,377,0
3,0,5,379,0
4,4,0,302,0
5,3,0,15,0
6,0,1,119,0
7,4,4,13,0
8,4,1,366,0
9,5,5,279,0
10,3,1,229,0
11,4,2,414,0
12,6,0,388,0
13,6,1,357,0
14,3,2,142,0
15,1,1,390,0
16,2,0,47,0
17,3,0,183,0
18,6,2,309,0
19,2,6,22,0
20,5,3,274,0
21,0,3,40,0
22,4,2,321,0
23,4,6,185,0
24,4,1,360,0
25,0,0,338,0
26,1,6,148,0
27,0,6,119,0
28,6,0,194,0
29,2,3,325,0
30,6,2,83,0
31,2,2,107,0
32,5,2,359,0
33,5,5,36,0
34,4,5,87,0
35,4,5,125,0
36,1,3,194,0
37,2,5,352,0
38,4,1,350,0
39,2,6,393,0
40,6,0,117,0
41,6,0,412,0
42,2,3,137,0
43,0,1,290,0
44,5,2,108,0
45,5,3,202,0
46,5,3,73,0
47,2,1,126,0
48,5,4,275,0
49,2,5,299,0
0,0,3,108,99
1,0,3,108,99
2,0,3,108,99
3,0,3,108,99
4,0,3,108,99
5,0,3,108,99
6,0,3,108,99
7,0,3,108,99
8,0,3,108,99
9,0,3,108,99
10,0,3,108,99
11,0,3,108,99
12,0,3,108,99
13,0,3,108,99
14,0,3,108,99
15,0,3,108,99
16,0,3,108,99
17,0,3,108,99
18,0,3,108,99
19,6,3,108,99
20,6,3,108,99
21,6,3,108,99
22,6,3,108,99
23,0,2,108,99
24,1,3,108,99
25,0,4,108,99
26,0,4,108,99
27,0,1,108,99
28,0,2,279,99
29,1,4,108,99
30,1,2,108,99
31,0,0,108,99
32,1,1,335,99
33,0,5,108,99
34,2,2,108,99
35,2,2,108,99
36,3,3,279,99
37,0,3,175,99
38,0,3,141,99
39,6,1,4,99
40,3,2,345,99
41,3,3,108,99
42,3,3,108,99
43,3,3,108,99
44,3,3,108,99
45,0,1,293,99
46,0,5,176,99
47,0,6,108,99
48,0,3,244,99
49,2,3,137,99
