gen,mean_score,compound,best_5_score,best_10_score,best_20_score
0,-10.116,1_2_52 5_3_245 1_0_34 0_3_281 2_6_391 0_1_266 4_2_141 6_1_54 2_1_13 1_1_158 2_5_374 0_6_310 4_1_91 0_6_280 6_2_3 4_1_211 3_3_82 6_6_22 5_2_74 5_1_34 3_1_325 5_3_141 1_2_223 5_4_164 5_1_142 6_1_62 2_1_148 2_5_345 2_2_78 5_6_39 6_5_413 2_6_139 6_6_190 2_5_198 1_3_143 2_4_360 3_4_147 1_2_132 0_0_236 5_2_265 4_5_241 5_4_101 2_0_31 6_4_315 3_0_21 2_5_42 2_0_165 6_5_210 6_6_317 2_4_98,-13.14,-12.786666666666665,-12.315
1,-10.97888888888889,5_5_34 6_0_114 0_5_141 2_2_74 1_2_148 0_2_142 5_2_3 3_3_374 2_1_148 0_0_74 0_5_116 0_4_98 1_2_284 5_3_91 6_3_391 0_1_142 2_6_139 4_2_91 1_6_48 6_5_205 0_4_310 2_2_148 5_1_223 5_3_245 0_5_78 4_1_91 5_4_74 4_1_141 1_2_40 0_1_1 0_3_281 1_3_187 1_2_52 5_1_34 1_0_34 1_2_223 6_1_54 6_2_3 4_2_141 2_2_78 6_1_62 5_1_142 5_6_310 2_6_86 ERROR_0_6_236 4_3_91 5_1_91 4_2_400 4_3_204 ERROR_6_5_413 5_2_198 6_1_84 2_6_272 0_5_374 ERROR_5_5_338 1_2_91 2_5_391 5_1_23 3_6_139 4_1_177,-13.373333333333335,-13.209999999999999,-12.905000000000001
2,-11.791525423728812,6_2_148 0_2_78 5_1_141 5_4_198 0_4_3 0_6_165 6_2_398 1_5_40 4_2_106 1_3_307 3_1_73 1_0_74 5_4_74 6_5_125 5_3_329 6_2_74 2_2_142 1_1_142 2_5_78 5_4_34 5_2_18 2_1_281 6_2_391 1_2_40 6_2_3 5_1_312 6_1_146 6_2_245 5_3_91 4_2_45 6_3_124 1_2_132 4_2_34 5_0_187 6_3_391 5_2_100 0_3_142 1_2_52 0_2_142 5_2_198 5_1_34 1_0_34 0_1_142 0_1_1 5_2_3 1_2_223 6_6_220 ERROR_3_2_381 5_4_96 3_1_91 6_2_243 5_6_3 2_5_74 3_2_94 6_2_98 4_2_74 1_4_91 6_4_258 1_1_151,-13.626666666666669,-13.456666666666667,-13.196666666666667
3,-11.89122807017544,3_1_52 5_0_62 0_1_3 3_1_34 4_2_34 1_0_74 5_2_74 2_0_173 5_2_18 1_1_40 1_5_9 0_2_379 1_2_34 0_5_142 5_3_91 5_0_198 0_1_82 4_2_94 3_2_73 5_1_288 0_4_142 0_0_78 3_3_307 6_2_18 6_5_409 0_3_3 5_2_10 6_2_125 2_2_74 4_2_40 6_3_124 5_2_198 0_0_52 3_2_74 0_1_60 0_6_165 1_2_40 3_1_73 4_2_45 6_2_398 1_2_52 0_2_142 5_1_34 0_2_78 1_0_34 1_4_48 1_1_291 1_0_257 6_6_98 5_2_45 1_4_296 6_0_287 6_0_266 4_4_130 3_6_165 5_2_396 4_5_74,-13.64,-13.506666666666666,-13.331666666666667
4,-11.74909090909091,5_2_379 5_2_74 1_2_52 5_2_34 0_1_353 4_2_40 4_2_45 1_2_351 4_0_22 5_4_160 2_1_173 5_1_34 1_5_40 5_5_369 0_2_94 0_2_40 1_6_34 1_2_379 1_2_74 0_5_52 5_2_198 0_1_123 3_4_40 1_2_185 0_3_379 1_1_287 6_0_357 1_2_40 0_2_3 5_2_18 0_0_40 3_3_40 6_2_106 5_2_17 4_2_34 6_2_398 1_2_34 0_2_379 0_2_142 4_2_67 5_5_192 4_2_233 0_0_95 1_5_393 6_2_390 4_1_94 1_2_168 5_0_10 4_0_45 4_6_411 3_1_17 2_2_10 ERROR_2_2_412 4_5_249 1_2_58,-14.006666666666666,-13.74,-13.426666666666668
5,-12.18448275862069,1_2_40 1_2_168 1_2_379 6_1_342 1_2_52 4_4_45 4_2_142 6_2_317 1_2_270 5_2_233 6_2_34 6_2_198 0_3_95 0_4_380 4_2_45 1_1_40 2_0_173 2_2_34 1_2_185 3_2_166 1_3_225 2_2_216 2_2_45 0_2_295 1_1_18 3_2_52 2_2_379 3_2_248 0_3_160 5_5_382 5_3_34 1_2_208 1_2_93 1_2_201 1_6_28 1_2_288 1_5_359 1_1_287 6_2_45 0_2_40 3_3_40 0_2_3 4_2_34 6_2_398 1_2_34 5_2_34 0_2_379 1_2_45 1_2_344 5_5_45 4_2_128 6_2_353 1_1_97 6_2_287 4_2_292 5_6_58 3_5_45 3_3_185,-14.25333333333333,-13.893333333333334,-13.530000000000001
6,-11.551977401129943,1_3_297 1_2_34 6_1_342 3_2_166 3_2_270 1_2_351 3_2_34 1_1_222 3_6_295 5_3_209 0_5_144 6_2_93 1_1_298 4_2_167 2_6_221 6_2_329 6_2_288 4_2_0 3_2_208 3_2_40 1_2_288 4_2_292 2_0_45 1_2_93 3_2_295 5_2_34 1_2_185 5_3_203 1_3_266 1_3_287 1_2_198 0_2_40 0_2_295 4_2_45 3_3_40 6_2_34 0_2_3 4_2_34 6_2_398 1_2_52 1_0_287 2_2_185 2_2_405 2_1_52 1_5_45 3_2_93 1_6_249 2_2_292 5_5_116 6_5_45 ERROR_5_2_415 1_5_344 5_2_382 1_0_305 6_1_212 4_2_154 6_5_269 1_1_193 4_5_382,-14.25333333333333,-13.893333333333334,-13.433333333333332
7,-11.941954022988508,1_1_287 5_3_203 2_3_288 3_3_287 4_2_292 6_0_254 3_2_34 3_2_197 1_4_52 4_2_382 4_3_167 4_2_185 0_2_93 0_1_405 2_2_185 3_2_40 0_2_52 0_1_40 1_0_177 0_2_159 2_2_405 5_2_259 6_2_93 0_2_155 3_2_45 6_1_365 3_5_235 6_2_311 1_2_52 4_2_10 1_2_185 6_2_382 6_2_179 0_2_405 3_2_208 6_3_40 1_2_34 1_2_267 2_2_295 2_3_208 5_2_40 0_2_40 0_2_295 4_2_45 3_3_40 6_2_34 0_2_3 4_2_34 6_2_398 ERROR_4_2_415 4_5_344 5_4_331 2_2_288 1_2_329 1_5_87 5_2_166 1_2_405 3_4_52,-14.706666666666667,-14.293333333333331,-13.878333333333336
8,-12.268421052631577,2_2_405 2_2_295 6_2_40 6_2_93 6_2_34 1_2_267 0_2_34 4_2_34 0_3_284 0_6_254 6_2_405 0_3_40 2_0_45 3_2_34 0_3_177 4_2_344 4_3_78 1_0_299 1_1_40 0_2_52 1_2_93 6_1_310 4_2_398 5_3_179 4_2_30 6_2_179 0_4_241 1_1_267 3_3_40 4_2_45 3_2_105 0_1_382 6_5_93 2_2_278 1_2_34 1_2_164 6_3_40 0_2_40 0_2_295 0_1_40 0_1_405 5_2_40 3_2_45 1_2_265 2_2_247 5_6_166 4_6_10 4_0_179 2_4_93 3_2_405 5_5_249 6_4_172 5_5_166 4_5_93 1_3_203 3_1_278 4_2_405,-15.013333333333332,-14.586666666666668,-14.086666666666668
9,-12.36549707602339,4_2_34 2_2_295 2_0_34 5_2_34 5_1_382 6_3_40 2_0_295 2_1_328 0_2_89 0_2_45 0_3_284 0_2_93 6_3_93 0_2_398 3_2_34 2_1_295 1_3_40 6_2_40 6_2_110 0_2_52 0_6_45 4_6_34 0_4_165 6_1_310 0_2_189 0_2_409 5_3_137 4_2_140 1_2_178 4_2_405 1_5_278 0_1_68 2_2_40 1_2_295 5_2_276 3_2_164 3_1_295 0_3_34 1_1_40 0_4_40 0_3_40 0_2_40 0_2_295 0_2_34 0_1_40 0_1_405 4_2_45 1_0_351 3_2_267 6_0_238 ERROR_4_2_384 1_3_267 6_4_166 4_0_405 0_4_309 4_3_284 2_6_34,-15.026666666666666,-14.689999999999998,-14.174999999999997
