,ps,link,lig,gen
0,1,2,1690,0
1,5,3,7845,0
2,1,0,1089,0
3,0,3,9001,0
4,2,6,964,0
5,1,4,8792,0
6,2,2,2828,0
7,6,0,4288,0
8,1,0,4264,0
9,6,2,3169,0
10,1,2,4745,0
11,5,6,6101,0
12,0,6,5528,0
13,5,3,8289,0
14,1,1,4052,0
15,3,2,1463,0
16,6,6,8972,0
17,6,2,118,0
18,2,4,5107,0
19,6,6,8329,0
20,1,3,6942,0
21,4,2,7062,0
22,3,1,3821,0
23,2,2,708,0
24,0,0,7580,0
25,5,2,8501,0
26,4,5,7720,0
27,5,2,2376,0
28,5,1,1088,0
29,3,1,7227,0
30,2,1,5829,0
31,3,5,5253,0
32,5,4,3255,0
33,2,0,1009,0
34,5,1,4546,0
35,6,4,3889,0
36,0,2,2908,0
37,2,3,420,0
38,0,2,1353,0
39,2,5,5359,0
40,0,2,4734,0
41,2,1,6724,0
42,6,6,1273,0
43,2,4,3136,0
44,3,2,2235,0
45,2,3,2603,0
46,2,4,153,0
47,2,0,7451,0
48,1,2,5942,0
49,2,4,1590,0
0,0,0,2469,99
1,0,0,2040,99
2,0,2,523,99
3,0,2,523,99
4,0,1,2040,99
5,0,1,2040,99
6,0,3,4537,99
7,0,3,4537,99
8,2,2,2040,99
9,3,0,2040,99
10,3,0,2040,99
11,0,1,523,99
12,5,1,2040,99
13,2,3,953,99
14,0,3,1089,99
15,5,0,2040,99
16,0,0,523,99
17,4,0,2040,99
18,2,2,523,99
19,0,4,523,99
20,5,2,2469,99
21,3,5,523,99
22,0,3,953,99
23,0,3,2040,99
24,0,2,9280,99
25,5,3,2040,99
26,0,0,1089,99
27,6,1,9042,99
28,5,0,2469,99
29,4,1,2121,99
30,1,3,4743,99
31,0,3,7940,99
32,0,1,6220,99
33,0,0,2512,99
34,6,1,4537,99
35,0,0,7347,99
36,1,1,7038,99
37,4,0,2469,99
38,3,3,9106,99
39,5,3,5599,99
40,4,3,1538,99
41,0,2,8496,99
42,6,1,953,99
43,1,3,4537,99
44,0,5,7422,99
45,3,1,6221,99
46,2,3,6221,99
47,5,2,8635,99
48,0,6,2762,99
49,4,1,2418,99
