gen,mean_score,compound,best_5_score,best_10_score,best_20_score
0,-10.543333333333335,1_2_1690 5_3_7845 1_0_1089 0_3_9001 2_6_964 1_4_8792 2_2_2828 6_0_4288 1_0_4264 6_2_3169 1_2_4745 5_6_6101 0_6_5528 5_3_8289 1_1_4052 3_2_1463 6_6_8972 2_4_5107 6_6_8329 1_3_6942 4_2_7062 3_1_3821 2_2_708 0_0_7580 5_2_8501 4_5_7720 5_2_2376 5_1_1088 3_1_7227 2_1_5829 3_5_5253 5_4_3255 2_0_1009 5_1_4546 6_4_3889 0_2_2908 2_3_420 0_2_1353 2_5_5359 0_2_4734 2_1_6724 6_6_1273 2_4_3136 3_2_2235 2_3_2603 2_4_153 2_0_7451 2_4_1590 6_2_118 1_2_5942,-12.760000000000002,-12.556666666666667,-12.263333333333335
1,-10.589830508474577,5_2_4745 6_4_2674 2_1_1088 6_2_8329 5_3_420 4_2_7062 2_3_8972 1_3_6942 6_2_118 2_2_420 1_3_1089 3_2_6724 5_2_2376 0_2_4734 0_2_2908 1_2_4745 0_0_7580 1_0_1089 6_2_3169 2_1_6724 6_6_8972 0_5_6724 5_5_5253 2_6_6986 1_0_1026 3_0_7451 3_5_6101 1_1_5942 5_4_3821 1_4_2533 3_5_2376 2_2_1247 2_0_3439 2_4_1353 1_3_5626 3_6_1273 5_4_6101 2_5_6724 1_5_5711 4_1_6724 3_6_5253 2_2_5634 0_6_8329 4_5_7191 2_0_5149 2_1_3177 2_5_6101 1_1_7103 1_6_4196 5_2_5359 1_1_4996 5_2_2908 2_4_6942 0_3_882 5_3_2828 6_5_2235 5_4_864 3_1_6724 6_2_2705,-12.886666666666667,-12.69,-12.444999999999999
2,-11.106214689265538,0_6_8329 5_2_3177 6_2_3169 5_2_4734 2_5_6724 4_2_7062 1_2_7062 6_2_8972 0_0_8329 2_1_2376 0_5_4734 5_4_864 6_6_1273 1_1_6724 6_4_8972 5_2_2376 5_2_5359 0_2_4734 1_3_1089 0_2_2908 1_1_4996 1_2_4745 0_0_7580 1_0_1089 2_6_6101 2_3_5253 5_4_420 0_1_6724 0_6_6986 2_5_7062 4_0_4734 0_6_6865 0_3_9409 1_4_882 1_6_6724 6_5_5253 3_5_7293 2_6_2480 5_2_864 2_1_6101 2_6_2828 2_4_6101 1_1_4034 5_2_420 2_1_882 2_6_3796 6_2_5359 2_2_5419 2_5_882 0_0_4734 4_3_5626 1_2_3169 4_6_3796 3_6_2376 2_0_6986 5_4_3763 2_1_4996 4_6_864 1_3_420,-13.373333333333335,-13.083333333333334,-12.773333333333335
3,-11.342372881355935,4_1_399 5_1_2376 2_1_2733 4_0_4734 1_2_5359 1_2_2376 1_4_2698 3_1_2376 0_1_1273 1_2_3169 6_2_2376 1_4_2376 1_4_8972 2_5_882 5_2_4745 5_2_5369 2_1_6724 0_0_4734 6_6_1273 6_2_5359 5_4_864 5_2_2376 4_2_7062 1_2_7202 3_2_4720 1_2_7062 5_2_3177 0_1_6724 6_2_8972 6_4_8972 5_2_5359 0_2_4734 1_1_6724 1_3_1089 0_2_2908 6_6_2664 1_4_7062 5_2_6975 6_1_6986 2_1_239 4_5_6668 1_0_4734 2_1_1559 5_0_5359 6_6_7416 5_4_6724 5_2_4820 1_6_7062 1_0_4996 5_6_3763 0_0_6757 4_1_4217 4_1_4734 2_5_8329 2_5_2605 4_2_2376 1_1_882 2_2_882 0_0_6724,-14.206666666666667,-13.636666666666667,-13.106666666666666
4,-11.144444444444444,1_2_2376 4_1_6724 1_2_5654 5_0_5359 6_0_7695 6_4_8972 2_1_3177 1_2_7202 6_1_4244 1_3_1290 5_2_7124 0_1_6724 0_1_1273 2_2_882 0_0_2908 2_5_4200 2_1_1559 3_2_2376 1_4_8972 5_2_3177 5_2_2376 6_2_8972 2_1_2733 5_2_5359 0_2_4734 3_0_7202 1_2_2401 5_2_2854 4_0_4217 2_5_6336 3_2_4841 2_2_7748 1_1_2376 3_1_5359 1_2_7321 0_2_5029 3_5_5283 1_2_4825 1_1_7120 2_1_8771 3_0_5359 5_4_4820 6_2_9427 1_4_1294 5_4_1761 5_2_4217 0_2_4107 3_6_7062 6_1_7202 5_0_7062 2_1_3429 4_4_8736 4_0_5359 6_4_2787 6_1_5369 0_0_1092 1_0_6724,-14.219999999999999,-13.686666666666667,-13.01
5,-11.126666666666665,5_2_2376 6_4_8972 6_0_2908 6_2_8972 0_1_1273 2_5_6724 0_1_6724 3_0_5359 5_4_9382 1_1_8771 3_0_2376 5_2_5029 5_1_6724 0_0_1092 6_0_4030 3_1_2376 6_3_2376 1_4_8972 5_2_3177 0_2_4107 2_1_2733 5_2_5359 2_1_4244 5_1_1559 4_0_8106 4_0_3540 4_1_3177 1_1_5654 5_2_7320 5_6_2978 2_0_4217 1_6_3177 2_1_1824 3_4_4244 0_2_2306 5_1_5359 2_2_4698 0_0_6181 5_3_737 2_1_5336 2_4_8736 3_0_1273 4_0_3010 4_3_2855 2_4_7748 5_6_1273 3_4_7928 5_0_1512 6_2_9127 6_4_4244 5_0_5029 0_4_8216 0_1_9577 1_2_6724 6_4_6724,-14.219999999999999,-13.720000000000002,-13.121666666666666
6,-11.752542372881358,0_0_6181 4_1_3010 5_6_8972 0_1_2802 4_3_4548 5_0_5359 6_0_2908 0_2_2376 5_0_1273 6_2_9545 0_2_2260 4_1_8192 1_6_3177 1_2_8346 3_2_7949 5_0_8972 0_1_392 0_1_6724 6_2_2376 3_1_6724 1_4_8972 5_2_3177 0_1_1273 0_2_4107 5_1_6724 6_2_9127 5_2_2376 6_2_8972 6_4_8972 0_3_1273 2_2_4034 3_5_4107 3_4_3177 0_2_8106 0_2_1273 1_3_5336 2_2_8663 6_1_9127 6_6_3177 0_1_5708 1_3_4244 3_2_7928 1_2_4107 5_3_3531 2_4_6724 0_2_6724 3_1_5029 0_0_8925 5_0_8497 6_1_5336 3_0_8106 1_1_3010 0_2_9127 3_1_1273 0_0_3177 5_3_1637 5_6_737 5_1_4177 2_2_9127,-14.413333333333332,-13.85,-13.456666666666669
7,-11.805263157894736,0_2_4107 0_0_8972 6_1_9545 2_6_8972 0_3_1273 1_3_4548 6_1_1896 5_2_3177 6_2_5279 5_0_5359 4_3_1576 0_2_2260 3_4_564 6_1_9127 1_2_8972 5_3_1637 1_2_8346 2_2_9181 6_0_2161 5_6_6 4_1_8192 5_5_523 1_1_1970 1_4_8972 0_2_9127 0_1_1273 0_2_2376 0_2_6724 0_1_6724 5_1_6724 1_0_3386 0_2_722 5_2_1637 5_4_6723 0_1_8882 3_1_9127 2_1_2802 4_0_3177 5_2_8663 0_1_8192 6_4_6931 3_2_1273 0_1_6181 6_3_1273 5_0_751 0_2_2955 0_1_5571 6_3_8192 5_5_3177 5_6_2376 5_3_9127 2_0_8663 5_0_400 3_4_5359 6_2_6181 3_1_4107 2_3_4107,-14.439999999999998,-13.91,-13.308333333333334
8,-12.164942528735633,6_0_400 3_1_4107 0_1_2260 6_0_2762 6_3_1273 5_4_8972 6_2_8972 6_1_9127 0_5_3177 1_1_1970 6_6_8972 0_2_6724 2_2_4107 0_2_3773 1_4_8972 6_0_4340 1_5_4195 6_3_8291 6_2_3501 2_1_2802 6_2_1212 5_3_903 2_0_8972 1_0_7420 5_1_400 5_2_3177 0_2_9127 0_3_1273 1_2_8972 0_1_1273 0_2_722 0_2_2376 0_2_4107 2_4_5328 2_3_1273 0_2_2655 1_4_4107 0_1_8663 3_2_4337 3_4_6181 0_1_9127 3_2_7674 0_2_1453 2_0_751 3_1_8192 1_2_2117 0_3_2553 5_0_2543 6_3_6214 0_1_9330 5_2_9127 5_1_6181 5_1_9262 1_2_6187 0_1_1970 5_2_7515 0_1_1377 5_3_8929,-14.459999999999999,-13.956666666666667,-13.508333333333335
9,-11.92202380952381,6_2_9127 2_0_8972 0_3_1273 1_2_6724 0_2_7674 1_2_8972 0_2_3773 1_3_1273 3_2_8972 4_3_2553 0_0_8972 6_2_4378 6_3_6214 5_2_139 0_1_918 0_5_9492 1_3_8972 6_2_2376 2_0_8663 5_5_9204 5_4_8972 1_4_8972 5_2_3177 0_2_9127 0_1_1273 0_2_722 0_2_6724 5_0_2117 0_6_4640 3_0_8429 5_2_4895 2_5_2553 2_5_400 6_6_722 0_0_1273 0_0_6825 0_5_3192 0_2_3515 6_2_2054 0_0_9127 6_5_2762 5_0_7583 5_4_9572 3_2_2543 5_4_9127 2_6_1273 2_2_6724 3_3_3177 3_4_722 3_2_3835 0_2_3417 6_2_3773 4_3_3177 4_3_1273 0_0_2762 5_4_9329,-14.966666666666665,-14.273333333333332,-13.643333333333334
