gen,mean_score,compound,best_5_score,best_10_score,best_20_score
0,-10.543333333333335,1_2_1690 5_3_7845 1_0_1089 0_3_9001 2_6_964 1_4_8792 2_2_2828 6_0_4288 1_0_4264 6_2_3169 1_2_4745 5_6_6101 0_6_5528 5_3_8289 1_1_4052 3_2_1463 6_6_8972 2_4_5107 6_6_8329 1_3_6942 4_2_7062 3_1_3821 2_2_708 0_0_7580 5_2_8501 4_5_7720 5_2_2376 5_1_1088 3_1_7227 2_1_5829 3_5_5253 5_4_3255 2_0_1009 5_1_4546 6_4_3889 0_2_2908 2_3_420 0_2_1353 2_5_5359 0_2_4734 2_1_6724 6_6_1273 2_4_3136 3_2_2235 2_3_2603 2_4_153 2_0_7451 2_4_1590 6_2_118 1_2_5942,-12.760000000000002,-12.556666666666667,-12.263333333333335
1,-11.276436781609195,6_0_2674 5_1_3821 2_6_6986 6_2_3169 2_1_6724 3_4_1273 6_2_8329 0_3_2533 3_4_2376 2_2_1247 2_6_964 0_4_3136 3_3_5626 6_3_1273 4_2_3169 0_6_6101 2_1_3177 1_4_1273 6_2_7103 1_2_3169 5_2_4734 5_2_2376 0_2_4734 0_2_2908 1_2_4745 0_0_7580 1_0_1089 4_2_7062 6_6_8972 5_6_4745 0_5_3169 4_2_8501 6_6_6101 5_1_5829 0_0_1026 3_6_5528 5_4_4264 4_0_3439 1_5_7062 2_2_964 6_3_5711 3_5_3821 4_5_5634 2_6_5829 2_2_5829 0_3_7580 6_5_7191 0_6_5149 0_6_4196 5_2_8792 0_3_4996 0_3_964 2_3_882 5_1_7720 0_5_1463 6_3_864 3_2_7062 2_6_2705,-13.226666666666668,-12.973333333333334,-12.701666666666668
2,-11.46149425287356,0_5_3169 4_1_7580 6_2_4745 5_2_2376 1_6_7062 0_5_7580 1_5_3169 6_0_2674 5_5_7293 5_2_4734 1_0_2674 2_6_3821 0_2_3169 2_2_3796 1_2_1026 2_2_5419 5_0_2376 6_6_6101 4_5_7062 0_1_7580 1_2_4745 6_2_3796 5_2_3763 6_6_4734 1_1_3169 5_4_2818 2_1_4864 0_0_1026 0_3_4996 0_3_2533 6_3_1273 0_4_3136 0_2_4734 0_3_7580 0_2_2908 6_6_7103 2_3_5829 0_6_882 5_0_964 0_2_7103 2_5_2908 4_0_4996 6_6_6865 6_3_9409 1_4_864 2_2_2480 5_3_5829 5_4_8792 6_4_7103 6_3_4034 0_2_882 0_3_1026 0_1_8501 6_5_4996 1_5_864 5_6_4734 2_0_5829 5_3_1273,-13.406666666666666,-13.203333333333337,-12.915000000000001
3,-11.488304093567253,6_2_7103 5_0_2733 0_3_4734 0_2_239 1_1_3169 4_5_6668 5_4_3136 0_2_7293 1_4_2698 0_2_3169 6_1_7580 5_0_4864 6_6_7416 1_2_1026 5_4_5829 6_2_2908 1_0_7580 5_5_2376 2_2_5829 4_2_4217 0_5_882 1_1_1026 4_1_7580 2_1_4864 0_3_4996 2_2_2480 2_0_5829 5_2_1026 1_2_7202 3_2_4720 0_0_1026 0_3_1026 0_1_7580 5_2_2376 0_3_2533 5_3_1273 6_3_1273 2_3_6975 6_5_2376 3_1_3796 6_0_1559 0_3_4820 6_4_4734 1_6_3169 1_1_8501 3_1_7103 5_6_5829 0_2_6757 0_3_5369 5_5_2605 6_1_7103 4_2_3796 1_0_3169 6_2_4996 1_3_2533 0_3_7348 0_6_964,-13.553333333333333,-13.363333333333333,-13.101666666666668
4,-11.45593220338983,4_2_3169 6_2_2854 5_0_1273 0_1_5654 1_1_1026 3_3_1273 1_3_5029 0_5_5283 0_5_4825 1_1_7120 5_5_2376 3_1_8771 0_3_4734 2_0_5829 0_3_1290 5_3_4996 1_1_8501 6_3_1273 2_5_4200 5_1_4996 5_5_1026 3_1_3429 4_4_8736 0_2_7293 6_1_1026 2_3_3169 0_0_1026 0_3_1026 5_0_2733 5_2_1026 0_1_7580 5_2_2376 0_3_4996 6_1_7103 0_3_2533 3_3_7103 5_5_6336 5_0_4841 0_3_7748 6_2_7321 0_0_3169 6_1_7695 5_3_2376 6_4_7580 1_4_4996 6_3_9427 3_4_1294 6_2_4244 6_3_1761 5_2_1273 1_1_4107 0_3_7124 2_1_6975 2_3_4996 2_3_5369 5_3_2787 4_1_1092 5_0_4820 0_3_3169,-13.573333333333334,-13.420000000000002,-13.123333333333335
5,-11.686781609195403,4_3_7293 5_1_3429 3_6_1273 0_3_4996 4_4_8736 3_1_7580 6_1_4244 0_4_8963 1_5_3169 1_2_1026 2_3_5369 2_2_3169 6_1_890 2_5_4200 1_2_6580 5_0_1273 0_3_6766 6_3_1273 0_2_5677 0_1_1346 6_2_1026 0_2_7293 6_1_8263 2_0_4297 6_3_7124 2_2_7293 0_0_1026 0_3_1026 5_0_2733 0_3_7748 5_2_1026 5_2_1273 0_1_7580 5_2_2376 5_4_4734 4_0_2854 5_4_1273 1_5_4825 6_2_9422 0_2_4996 2_3_8501 0_1_9540 1_1_9427 6_1_1092 2_2_4996 3_1_1761 0_5_4311 3_0_7373 5_3_490 4_3_8736 0_1_7695 2_5_2984 4_1_1026 4_3_5369 4_1_2256 3_3_1761 0_6_4139 5_0_4245,-13.673333333333336,-13.546666666666667,-13.268333333333334
6,-12.010919540229883,6_1_9210 5_2_6766 0_0_7580 1_2_1026 2_1_3169 6_3_1273 5_3_4297 4_2_1026 4_6_7293 4_0_4297 0_1_2802 6_1_3531 0_3_7293 3_1_7580 6_2_1026 5_0_8497 6_2_9545 6_2_7293 6_2_3169 4_3_7293 5_2_8346 0_2_4177 0_2_4996 5_2_2196 0_5_3169 5_2_2733 0_0_1026 0_3_1026 0_2_7293 4_1_1026 5_0_2733 0_3_7748 5_2_1026 5_2_1273 1_1_1537 5_3_7293 2_3_8663 4_3_1026 0_3_5708 4_4_4548 2_4_4996 0_1_8263 5_3_1026 4_1_1346 6_0_8925 0_0_2260 4_5_8192 3_3_8736 4_3_7949 4_0_7293 2_4_392 0_2_8263 0_4_1637 5_6_8263 3_2_4245 2_1_1026 3_3_1026 1_5_7580,-13.893333333333334,-13.726666666666668,-13.370000000000001
7,-11.916666666666666,4_4_4996 5_0_4297 6_4_179 6_2_1026 5_2_4996 4_0_7293 0_3_206 6_2_1260 1_0_1026 5_2_2733 1_1_1026 4_2_1026 2_3_607 5_2_6766 3_2_7580 0_3_1026 1_3_4297 5_6_6 6_2_7293 4_0_400 5_2_2196 5_5_523 1_2_7293 1_2_1970 6_1_1026 4_0_7580 2_2_7293 5_3_1273 5_1_6766 6_2_9545 0_3_7293 0_2_4996 0_0_1026 0_2_7293 4_1_1026 5_0_2733 2_2_1026 0_5_1026 5_3_3627 4_3_9156 5_2_4245 1_0_8574 0_1_1537 6_0_4996 0_3_2809 4_5_8375 3_3_9486 0_1_6627 4_1_4115 4_0_8346 2_2_8346 4_6_7748 5_3_9545 3_4_8497 1_3_1026 2_4_3243,-13.893333333333334,-13.736666666666668,-13.351666666666668
8,-12.029824561403508,6_0_2762 4_0_2733 2_2_1026 4_4_1026 0_2_1026 5_3_1026 6_2_4337 6_2_1026 3_1_7674 4_0_7293 2_0_206 4_2_7293 3_2_4245 2_2_7293 4_4_4996 2_2_4340 6_3_8291 1_2_7293 0_1_3501 0_2_9262 0_5_1026 1_1_6187 6_1_1212 6_1_9545 1_3_903 2_0_7293 1_2_7420 1_3_8929 0_0_7293 6_6_8294 1_2_4297 4_3_69 4_2_4996 0_3_7293 0_2_4996 0_0_1026 6_2_7293 0_3_1026 0_2_7293 4_1_1026 6_1_2655 3_4_1537 0_5_6766 0_1_1453 6_5_3627 5_2_2117 2_3_2553 1_2_2543 6_0_6214 1_0_9330 6_1_3773 6_4_4996 2_5_4195 2_2_7515 5_0_1377 1_1_2196 1_4_1026,-14.0,-13.809999999999999,-13.404999999999998
9,-11.861581920903957,2_5_7293 4_0_4337 3_1_7674 1_3_7293 6_0_2762 0_0_2762 0_2_3501 3_3_9330 2_1_3773 6_1_4378 3_3_1026 6_2_7293 3_4_7293 4_2_3417 5_2_139 1_5_9492 3_0_7674 4_3_1026 2_2_4297 1_0_9330 6_3_7293 5_2_4884 3_2_3773 3_1_69 2_2_7293 0_3_7293 0_2_1026 0_2_4996 0_0_1026 4_0_7293 1_2_4297 0_3_1026 0_2_7293 4_1_1026 2_2_4895 2_5_8291 6_6_7293 0_2_7420 1_0_6825 2_5_3192 1_1_3515 0_0_1377 4_0_2054 1_5_4297 5_3_7583 1_1_9572 3_3_9545 1_6_3773 4_0_1377 4_1_2196 1_2_3835 2_4_918 6_0_1377 1_3_9330 4_1_3773 2_3_7293 1_5_9204 6_4_8929 0_2_9329,-14.0,-13.809999999999999,-13.326666666666664
