gen,mean_score,compound,best_5_score,best_10_score,best_20_score
0,-10.292666666666667,5_4_6277 1_2_3748 4_5_287 2_2_1537 0_1_3192 6_4_1605 1_6_6726 4_1_4953 1_6_3586 6_0_6318 2_3_3121 2_3_5330 0_2_1716 4_4_1643 0_1_7524 2_1_7469 4_6_1406 6_0_7680 6_2_6471 6_2_2420 0_6_8788 3_3_6956 5_6_3260 3_3_4903 5_3_1824 1_4_4652 1_5_8419 0_0_6709 0_2_2899 4_2_8357 2_4_6734 1_1_3444 4_2_1995 1_4_2899 3_4_1388 6_6_6135 2_1_625 0_3_6988 5_1_980 1_2_2404 1_3_8498 4_4_1976 3_4_2785 2_3_4411 1_0_9135 5_5_5958 4_6_9005 4_4_5206 2_6_1001 5_4_7710,-12.393333333333334,-12.12,-11.739999999999998
1,-10.906896551724138,5_3_1824 1_0_3748 0_3_2869 0_3_6709 2_3_3121 0_0_6709 1_2_3748 1_2_9365 0_3_3192 4_0_287 0_1_7524 2_1_7469 0_1_3192 4_2_8357 5_1_980 1_1_3444 3_3_4903 0_2_2899 6_5_6318 6_2_7710 1_6_8419 4_6_3170 4_1_7710 0_2_5818 6_2_6318 5_6_2420 2_5_4256 2_1_1532 1_0_4652 4_5_7471 5_6_9005 1_4_3748 1_6_9135 6_0_5073 4_0_7157 2_4_2899 6_2_3783 6_3_9084 5_4_1564 6_6_8419 4_2_2404 2_0_7710 6_0_6471 5_2_5958 6_2_8340 4_4_6734 5_5_625 4_0_7680 0_6_2899 4_4_9005 1_2_6395 5_4_7232 0_5_3462 6_4_6318 3_2_2819 3_2_6471 2_5_4411 3_3_7710,-12.62,-12.363333333333333,-12.116666666666665
2,-11.469540229885057,3_2_6471 6_4_6318 6_0_6471 0_2_6709 3_3_6709 4_2_8357 4_4_6734 4_0_7157 5_0_419 6_2_3783 0_2_5152 4_3_6709 1_0_3717 0_1_7524 0_3_6709 2_1_7469 6_3_9084 0_0_6709 0_1_3192 1_2_3748 5_1_980 4_0_6734 0_3_3748 2_5_3023 1_0_7157 0_1_980 5_0_7232 6_3_6318 1_2_6811 2_3_9084 0_3_9084 1_5_3748 0_3_7710 1_3_3748 4_5_4598 4_2_7768 5_1_9155 2_3_2775 2_4_7524 5_3_7680 5_4_2984 1_0_1497 2_4_7710 6_1_6318 2_1_3444 1_5_9084 6_4_1564 6_1_9084 3_1_7461 0_2_9450 1_2_1589 6_6_4853 1_6_3748 6_1_6471 1_3_8209 0_2_7275 5_4_1469 2_3_6734,-13.413333333333332,-12.976666666666665,-12.60833333333333
3,-11.466666666666667,6_5_4159 0_1_7524 0_1_5077 0_3_7710 4_2_8357 6_2_6471 1_2_3748 0_2_3506 0_0_6709 5_0_8299 0_2_6709 3_1_7469 5_2_6427 1_2_6709 1_5_858 0_2_7275 0_2_9450 5_3_7680 0_3_6709 2_1_3444 2_1_7469 4_0_7157 4_0_8357 2_0_2625 4_1_8067 6_0_2394 5_6_4103 4_1_7229 0_2_7710 1_3_6734 1_3_7578 0_2_9117 3_0_7157 0_1_6709 0_6_6548 0_3_5313 2_1_6318 0_0_4826 2_3_6709 0_3_6811 2_2_8357 ERROR_2_3_6153 0_0_3269 4_1_7157 2_1_980 1_3_7710 0_4_9252 0_4_4596 4_2_7275 4_6_6667 0_3_2706 0_0_3748 6_6_6318 1_2_9084 4_0_7275 6_3_6709 2_4_8357,-13.879999999999999,-13.496666666666666,-13.063333333333333
4,-11.862499999999999,2_0_8357 0_0_3748 0_2_7275 1_5_3327 1_0_7157 2_1_6318 3_1_7469 0_3_6709 0_0_2311 0_4_3086 2_4_8357 3_0_7157 0_2_6709 4_3_6709 6_3_858 4_1_7229 5_0_4596 3_3_6709 1_2_5450 0_1_16 0_1_4637 0_2_8299 0_0_984 4_2_7275 0_2_9450 4_1_7157 0_2_7710 0_1_6709 0_1_7524 5_3_7275 0_5_2040 2_5_980 0_1_7469 2_2_9093 6_1_6196 2_1_7420 4_2_412 5_6_8067 5_3_7220 1_2_2610 1_3_7524 3_3_7469 4_2_4304 4_2_6709 4_3_8509 0_0_5869 4_5_980 3_3_6274 0_0_7275 4_0_980 1_0_2898 1_2_9287 4_0_8067 0_6_7710 3_1_8067 1_5_1081,-14.133333333333335,-13.776666666666667,-13.361666666666668
5,-11.661904761904761,4_2_7275 0_2_7275 0_1_8299 4_2_412 0_1_7469 1_3_2311 0_1_9450 3_3_7469 0_1_4596 3_5_174 2_1_4637 0_3_8299 3_6_16 5_3_7275 0_5_2040 3_3_6709 2_1_7469 2_0_4764 2_1_7420 0_2_8299 3_0_2040 4_1_7229 0_1_16 0_0_7275 0_2_6709 0_2_9450 4_1_7157 5_2_8067 0_3_7420 4_6_5377 2_4_6638 4_3_8495 3_6_7275 0_6_8067 2_1_6709 2_0_8067 1_0_7275 3_0_7469 4_1_4742 2_2_7469 0_1_3748 0_5_3327 4_1_9450 5_1_8982 2_1_3172 0_1_8067 4_2_9093 5_2_678 2_2_7275 2_0_7157 6_4_3235 1_0_3310 2_2_4309 0_5_7469 3_3_8067 0_2_4321,-14.513333333333332,-14.043333333333333,-13.536666666666667
6,-12.202339181286549,4_1_2040 0_2_7275 2_2_7275 4_2_4111 2_2_7469 2_1_6709 4_1_7229 0_0_9450 2_1_4742 0_5_2040 0_1_2836 2_1_7469 4_1_9450 2_1_3172 4_2_412 4_1_7157 0_2_9450 6_1_9450 0_3_7435 4_5_4921 3_0_2040 4_2_9093 0_1_16 0_1_7469 0_0_7275 4_2_7275 0_2_6709 0_3_4404 2_1_4005 2_0_1828 1_2_6027 1_5_6437 0_1_7229 3_2_412 4_6_5920 3_5_4262 4_0_7078 0_1_7275 4_1_7469 2_4_3172 3_0_7152 0_2_7469 3_0_9475 6_2_7469 3_6_412 4_5_9162 2_2_6082 0_2_4363 0_0_7469 4_2_1529 4_6_7157 1_1_5533 0_3_6552 1_2_7275 2_1_7275 0_2_4213 6_3_7420,-14.66,-14.293333333333333,-13.844999999999999
7,-12.391812865497077,1_2_7275 0_0_7469 1_5_2040 4_2_7275 0_2_7469 0_3_4404 2_1_2040 2_1_9450 0_1_7229 0_0_9450 0_1_2040 4_2_8976 4_3_412 0_0_7275 0_2_7275 4_1_2040 1_6_16 0_2_9450 4_4_2040 3_0_2040 4_1_7229 4_2_412 4_2_9093 0_1_7275 0_1_16 3_2_412 2_6_4005 1_1_3037 0_5_8848 5_6_6088 2_1_7229 1_2_6318 0_2_9093 1_3_7275 5_6_7229 5_4_7229 2_1_9093 4_0_7469 3_2_3172 4_1_7275 6_3_2833 2_1_3156 0_2_6082 2_0_7469 4_5_6085 0_4_9450 1_1_4205 1_2_7388 3_0_9093 0_2_830 0_5_7275 0_1_2358 4_2_7557 4_5_7229 0_4_7469 3_6_4005 4_1_3194,-14.919999999999998,-14.52,-14.025
8,-12.394827586206896,4_5_7229 0_1_7469 4_0_7469 0_1_7229 4_4_7666 4_1_7229 1_1_2380 0_3_412 0_4_16 4_5_2040 1_1_2040 2_1_7229 2_1_7275 2_2_2040 5_2_412 5_4_7229 6_2_412 5_4_2040 2_1_9093 4_2_7275 0_1_2040 3_0_2040 0_2_7275 4_1_2040 4_2_412 4_2_9093 0_1_7275 0_2_9093 4_6_8976 2_1_8988 2_4_2040 1_5_7275 4_2_6841 5_0_958 0_5_9338 5_2_8519 3_2_1262 2_4_8124 0_5_8106 4_4_9093 1_6_4082 1_4_7229 0_5_5708 0_2_7229 0_1_8006 5_2_7229 5_1_7275 4_5_7275 2_0_7275 0_0_9093 0_3_7469 4_1_2622 0_4_1974 4_1_7 4_2_7229 2_0_5876 4_4_7229 1_3_2743,-15.166666666666666,-14.863333333333333,-14.343333333333334
9,-12.494047619047619,4_0_2040 2_1_7275 4_2_2040 1_2_412 0_4_3524 0_6_2040 0_2_7229 0_1_7229 4_2_7229 0_2_412 5_4_7229 1_1_2040 5_2_2040 4_2_6805 4_4_2040 2_0_7275 0_0_7275 2_2_9093 4_4_9093 0_2_3858 4_2_7275 1_2_2569 0_3_6756 2_1_2040 0_1_2040 2_2_2040 3_0_2040 4_1_7229 0_2_7275 4_1_2040 4_1_8519 0_5_8390 1_2_5192 0_2_783 4_1_5769 0_6_7469 0_2_5336 0_5_7229 1_1_3860 5_3_9093 4_1_5437 4_3_2743 4_2_4867 4_1_4181 1_0_8300 0_4_7229 3_4_7275 0_1_8689 1_5_7824 6_6_2380 2_1_5752 4_6_7229 0_4_7680 2_1_4548 1_1_3338 1_4_7275,-15.166666666666666,-14.866666666666665,-14.323333333333332
