,ps,link,lig,gen
0,3,5,7316,0
1,6,3,5247,0
2,4,4,5525,0
3,5,0,2029,0
4,5,2,8712,0
5,5,4,4934,0
6,1,1,2894,0
7,5,0,3455,0
8,2,0,2066,0
9,5,6,637,0
10,1,1,7863,0
11,3,4,5593,0
12,4,0,1243,0
13,4,3,8167,0
14,0,6,2005,0
15,4,1,1748,0
16,4,0,1133,0
17,1,3,7865,0
18,5,1,2990,0
19,4,1,4764,0
20,6,2,1951,0
21,4,5,919,0
22,2,3,2515,0
23,2,0,8269,0
24,6,3,9425,0
25,5,2,4527,0
26,2,2,2210,0
27,1,6,7192,0
28,0,5,5851,0
29,4,6,3720,0
30,1,4,5684,0
31,4,5,1926,0
32,0,2,2931,0
33,6,0,4610,0
34,1,5,3281,0
35,1,5,4117,0
36,3,4,1543,0
37,3,6,8018,0
38,5,3,1442,0
39,6,5,5148,0
40,6,2,1919,0
41,0,3,7817,0
42,3,0,9247,0
43,4,3,4039,0
44,0,3,3291,0
45,2,6,569,0
46,1,0,1144,0
47,5,2,2933,0
48,2,1,703,0
49,2,0,6233,0
0,0,2,1617,99
1,0,2,1617,99
2,0,2,3281,99
3,0,2,3281,99
4,0,1,3281,99
5,6,3,2990,99
6,6,3,2990,99
7,0,3,2990,99
8,2,1,1617,99
9,2,1,1617,99
10,4,2,3281,99
11,6,1,3281,99
12,4,2,2990,99
13,0,0,3281,99
14,5,1,3281,99
15,1,2,3281,99
16,4,3,2990,99
17,0,2,2990,99
18,5,3,3281,99
19,6,3,3281,99
20,5,2,3281,99
21,3,0,5236,99
22,4,0,3281,99
23,0,4,6279,99
24,0,2,8033,99
25,2,0,3281,99
26,4,4,3281,99
27,0,0,6594,99
28,2,2,4107,99
29,0,2,4735,99
30,6,2,5792,99
31,3,0,6594,99
32,5,2,3114,99
33,0,0,2242,99
34,3,2,1744,99
35,5,1,6907,99
36,0,1,5844,99
37,0,3,2242,99
38,5,0,6594,99
39,6,2,1744,99
40,4,3,655,99
41,2,1,6594,99
42,0,4,2225,99
43,3,4,8872,99
44,4,4,2931,99
45,3,2,3114,99
46,4,5,6594,99
47,0,3,1257,99
48,0,0,4735,99
49,3,4,8221,99
