,score
5_2_16,-12.6
1_1_187,-11.533333333333333
3_1_156,-8.833333333333334
6_1_173,-12.5
6_6_126,-8.0
3_1_272,-11.5
2_6_387,-9.966666666666667
6_0_79,-12.133333333333333
1_2_244,-12.966666666666667
3_5_119,-7.866666666666667
0_6_3,-9.966666666666667
0_3_0,-10.0
6_2_106,-13.300000000000002
3_5_252,-9.533333333333333
1_1_115,-12.333333333333334
6_6_290,-9.666666666666666
3_2_48,-11.633333333333333
0_3_237,-12.033333333333333
1_1_332,-11.266666666666666
0_2_151,-13.0
6_2_321,-12.833333333333334
3_6_16,-9.433333333333335
0_3_334,-12.5
2_0_302,-9.466666666666667
0_1_292,-9.433333333333334
0_3_55,-12.266666666666666
2_1_243,-11.699999999999998
5_3_90,-13.5
1_1_34,-13.066666666666668
0_0_341,-12.433333333333332
2_2_112,-11.766666666666666
1_3_206,-10.4
2_1_108,-12.366666666666667
2_4_322,-11.566666666666668
4_3_223,-12.733333333333334
6_5_12,-11.6
5_2_58,-11.0
2_0_67,-8.166666666666666
0_3_216,-13.133333333333333
4_1_111,-12.733333333333334
2_2_386,-12.833333333333334
0_4_167,-12.300000000000002
5_3_233,-12.433333333333332
5_0_246,-9.233333333333333
0_1_322,-13.4
0_4_108,-13.966666666666667
0_3_279,-13.033333333333333
0_3_387,-12.6
2_5_166,-10.333333333333334
2_2_217,-13.700000000000001
1_0_119,-12.133333333333333
0_6_274,-10.9
3_4_51,-10.4
0_1_12,-13.133333333333333
6_2_392,-11.9
0_1_105,-11.433333333333332
4_1_359,-10.866666666666667
4_3_24,-11.366666666666667
1_3_248,-11.4
2_1_146,-11.5
1_3_73,-11.933333333333332
4_0_277,-10.5
1_4_139,-11.1
3_3_12,-12.566666666666665
0_3_74,-12.466666666666667
0_2_254,-11.966666666666667
5_3_330,-8.6
2_2_278,-12.4
6_5_355,-10.2
2_3_339,-11.133333333333333
0_3_315,-13.166666666666666
4_5_379,-10.666666666666666
6_3_106,-12.199999999999998
3_3_71,-11.066666666666668
5_3_40,-14.966666666666669
6_3_222,-11.0
0_4_323,-12.366666666666667
6_2_363,-11.966666666666667
