ID,Affinity_1,Affinity_2,Affinity_3,Affinity_4,Affinity_5
CHEMBL145,-13.92574,-13.60601,-13.59347,-13.50813,-13.37853
CHEMBL1316,-13.86189,-13.79847,-13.5718,-13.53117,-13.5309
CHEMBL6,-13.59324,-13.56178,-13.17299,-13.02852,-12.91764
CHEMBL404108,-13.3246,-13.25762,-13.2032,-13.10151,-12.97375
CHEMBL469,-13.13376,-13.11941,-13.07934,-13.01296,-12.98948
CHEMBL1071,-13.12537,-12.92308,-12.81608,-12.80707,-12.72986
CHEMBL139,-12.79879,-12.49305,-12.41242,-12.39938,-12.36472
CHEMBL622,-12.62466,-12.22049,-12.21663,-12.15779,-12.03713
CHEMBL435298,-12.61691,-12.41111,-12.41083,-12.41037,-12.40471
CHEMBL1077,-12.53915,-12.53822,-12.49376,-12.49021,-12.44824
CHEMBL25,-11.95581,-11.6305,-11.55111,-11.51809,-11.4972
CHEMBL956,-11.94,-11.86044,-11.84071,-11.8314,-11.81118
CHEMBL75435,-11.58143,-11.44352,-11.32596,-11.1532,-11.11784
CHEMBL424,-11.41048,-11.38036,-11.12256,-10.82178,-10.78845
CHEMBL704,-11.29959,-11.24988,-11.23897,-11.15793,-11.1349
CHEMBL1201124,-11.24303,-11.22907,-11.22083,-11.1964,-11.1871
CHEMBL154,-10.60185,-10.50416,-10.45976,-10.4569,-10.43586
CHEMBL190083,-10.50373,-10.48617,-10.31215,-10.19049,-10.10732
CHEMBL563,-10.45981,-10.39017,-10.24114,-10.1839,-10.06695
CHEMBL23588,-10.38206,-10.33715,-10.26854,-10.235,-10.23062
CHEMBL571,-10.22956,-10.15603,-10.13491,-10.08019,-10.07193
CHEMBL521,-10.13257,-9.71242,-9.66517,-9.57252,-9.5309
CHEMBL175,-10.02941,-9.99657,-9.95594,-9.87089,-9.81043
CHEMBL19299,-9.96025,-9.67222,-9.63504,-9.53466,-9.52592
25-ref,-9.88925,-9.79155,-9.76604,-9.75571,-9.75391
